x,y,Total_Cu,Total_Fe,Total_Mn,Total_Zn,Total_Co ,Total_Ni ,Micronutrient
-112.136000,35.385000,31.960784,93317.647059,1013.921569,70.000000,21.176471,60.784314,94515.490196
-105.245000,39.954000,8.431373,35411.764706,76.078431,37.647059,0.000000,6.862745,35540.784314
-105.245000,39.954000,6.107171,21843.971631,137.706856,23.246651,0.000000,46.493302,22057.525611
-105.245000,39.954000,6.860055,29376.715014,258.722070,36.848295,0.000000,6.664053,29685.809486
-105.245000,39.954000,5.094044,28154.388715,91.105016,27.429467,0.000000,8.620690,28286.637931
-105.245000,39.954000,5.492350,37446.057277,57.473519,25.304041,0.000000,4.315418,37538.642605
-105.243000,39.958000,12.740102,24523.716190,183.849471,30.184241,0.000000,5.096041,24755.586045
-105.243000,39.958000,9.611612,32130.247156,194.782268,40.408003,0.000000,9.807768,32384.856807
-105.243000,39.958000,6.669282,18297.371518,153.393488,33.934876,0.000000,4.903884,18496.273048
-105.243000,39.958000,12.017336,44235.618597,118.203310,30.338849,0.000000,30.535855,44426.713948
-105.243000,39.958000,8.032915,24780.564263,181.426332,36.246082,0.000000,7.836991,25014.106583
-105.248000,39.959000,5.490196,20568.627451,50.784314,30.588235,0.000000,2.156863,20657.647059
-105.248000,39.959000,10.971787,26042.319749,95.807210,38.989028,0.000000,6.661442,26194.749216
-105.248000,39.959000,7.170543,21798.449612,75.193798,35.465116,0.000000,23.449612,21939.728682
-105.248000,39.959000,10.788545,25555.119655,79.050608,36.681051,0.000000,6.473127,25688.112985
-105.248000,39.959000,14.117647,27658.823529,102.156863,40.784314,0.000000,7.647059,27823.529412
-105.231000,39.940000,18.627451,38662.745098,279.019608,49.803922,0.000000,31.372549,39041.568627
-105.231000,39.940000,7.535246,39581.915411,251.093826,38.162372,0.000000,43.266894,39921.973748
-105.231000,39.940000,13.540031,67916.012559,288.657771,59.262166,0.000000,13.343799,68290.816327
-105.231000,39.940000,14.919513,41974.872399,219.473891,45.347468,0.000000,9.815469,42264.428740
-105.231000,39.940000,12.946253,40388.387603,207.532366,37.661828,0.000000,8.630836,40655.158886
-105.245000,39.882000,9.019608,27501.960784,475.686275,33.725490,0.000000,3.137255,28023.529412
-105.245000,39.882000,10.200078,26245.586505,374.068262,37.661828,0.000000,2.942330,26670.459004
