ID,number,author1,year,journal,study,longitude,latitude,climate.zone,soil.texture,soil.layer,experimental.duration (yr),cropland.type,Nrate (kg N/ha),OF,tillage,irrigation2,CC.type,CC.diversity,residue.management,species,unit,cellulase.ck (nmol h-1 g-1 soil),cellulase.csd,cellulase.cn,cellulase.t,cellulase.tsd,cellulase.tn,rrcellulase,varcellulase
70,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay loam,0-10,22,upland,50,no,no-tillage,rainfed,non-legume,1,surface,BG,ug PNP h-1 g-1 soil,1.10E+02,2.25E+01,3,1.92E+02,29.400768,3,0.557015006,0.021762445
71,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay loam,0-10,22,upland,50,no,no-tillage,rainfed,legume,1,surface,BG,ug PNP h-1 g-1 soil,1.10E+02,2.25E+01,3,2.55E+02,39.047895,3,0.840783179,0.021762445
72,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay loam,0-10,22,upland,50,no,no-tillage,rainfed,non-legume,1,surface,BG,ug PNP h-1 g-1 soil,1.10E+02,2.25E+01,3,1.92E+02,29.400768,3,0.557015006,0.021762445
73,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay loam,10-30,22,upland,50,no,conventional,rainfed,legume,1,incorporated,BG,ug PNP h-1 g-1 soil,1.14E+02,2.34E+01,3,1.82E+02,27.869478,3,0.467808239,0.021860485
74,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay loam,10-30,22,upland,50,no,conventional,rainfed,non-legume,1,incorporated,BG,ug PNP h-1 g-1 soil,1.14E+02,2.34E+01,3,1.47E+02,22.509963,3,0.254234138,0.021860485
75,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay loam,10-30,22,upland,50,no,conventional,rainfed,legume,1,incorporated,BG,ug PNP h-1 g-1 soil,1.14E+02,2.34E+01,3,1.63E+02,24.960027,3,0.357551752,0.021860485
76,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay loam,10-30,22,upland,50,no,conventional,rainfed,non-legume,1,incorporated,BG,ug PNP h-1 g-1 soil,1.14E+02,2.34E+01,3,1.43E+02,21.897447,3,0.226646182,0.021860485
77,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay loam,10-30,22,upland,50,no,no-tillage,rainfed,legume,1,surface,BG,ug PNP h-1 g-1 soil,1.24E+02,2.54E+01,3,1.49E+02,22.816221,3,0.18366474,0.021802463
78,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay loam,10-30,22,upland,50,no,no-tillage,rainfed,non-legume,1,surface,BG,ug PNP h-1 g-1 soil,1.24E+02,2.54E+01,3,1.49E+02,22.816221,3,0.18366474,0.021802463
79,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay loam,10-30,22,upland,50,no,no-tillage,rainfed,legume,1,surface,BG,ug PNP h-1 g-1 soil,1.24E+02,2.54E+01,3,1.73E+02,26.491317,3,0.333010029,0.021802463
80,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay loam,10-30,22,upland,50,no,no-tillage,rainfed,non-legume,1,surface,BG,ug PNP h-1 g-1 soil,1.24E+02,2.54E+01,3,1.47E+02,22.509963,3,0.170151021,0.021802463
81,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay,30-60,22,upland,50,no,conventional,rainfed,legume,1,incorporated,BG,ug PNP h-1 g-1 soil,8.82E+01,1.81E+01,3,1.63E+02,24.960027,3,0.614143238,0.021853953
82,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay,30-60,22,upland,50,no,conventional,rainfed,non-legume,1,incorporated,BG,ug PNP h-1 g-1 soil,8.82E+01,1.81E+01,3,1.14E+02,17.456706,3,0.256591485,0.021853953
83,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay,30-60,22,upland,50,no,conventional,rainfed,legume,1,incorporated,BG,ug PNP h-1 g-1 soil,8.82E+01,1.81E+01,3,8.82E+01,13.5059778,3,0,0.021853953
84,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay,30-60,22,upland,50,no,conventional,rainfed,non-legume,1,incorporated,BG,ug PNP h-1 g-1 soil,8.82E+01,1.81E+01,3,1.00E+02,15.3129,3,0.125563223,0.021853953
85,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay,30-60,22,upland,50,no,no-tillage,rainfed,legume,1,surface,BG,ug PNP h-1 g-1 soil,5.69E+01,1.17E+01,3,8.82E+01,13.5059778,3,0.438311622,0.021909893
86,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay,30-60,22,upland,50,no,no-tillage,rainfed,non-legume,1,surface,BG,ug PNP h-1 g-1 soil,5.69E+01,1.17E+01,3,1.04E+02,15.925416,3,0.603095558,0.021909893
87,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay,30-60,22,upland,50,no,no-tillage,rainfed,legume,1,surface,BG,ug PNP h-1 g-1 soil,5.69E+01,1.17E+01,3,6.86E+01,10.5046494,3,0.186997194,0.021909893
88,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay,30-60,22,upland,50,no,no-tillage,rainfed,non-legume,1,surface,BG,ug PNP h-1 g-1 soil,5.69E+01,1.17E+01,3,9.22E+01,14.1184938,3,0.482664789,0.021909893
89,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay loam,0-10,22,upland,150,no,conventional,rainfed,legume,1,incorporated,BG,ug PNP h-1 g-1 soil,1.35E+02,2.77E+01,3,1.35E+02,20.672415,3,0,0.021849817
90,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay loam,0-10,22,upland,150,no,conventional,rainfed,non-legume,1,incorporated,BG,ug PNP h-1 g-1 soil,1.35E+02,2.77E+01,3,1.46E+02,22.356834,3,0.078331843,0.021849817
91,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay loam,0-10,22,upland,150,no,conventional,rainfed,legume,1,incorporated,BG,ug PNP h-1 g-1 soil,1.35E+02,2.77E+01,3,1.92E+02,29.400768,3,0.352220594,0.021849817
92,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay loam,0-10,22,upland,150,no,conventional,rainfed,non-legume,1,incorporated,BG,ug PNP h-1 g-1 soil,1.35E+02,2.77E+01,3,2.00E+02,30.6258,3,0.393042588,0.021849817
